number,crn,name,days,time,room,instructor,avail_max,desc,gen_ed
SPAN 203-02,10646,Intermediate Spanish I,M W F,09:40 am-10:40 am,HUM 216,Teresa Mesa Adamuz,1 / 20,"Intermediate Spanish extends and deepens awareness and use of linguistic functions in Spanish. Formal introduction to history and culture of Hispanophone countries. For admission into SPAN 204, students must have completed 203, or its equivalent, with a minimum grade of C-. Prerequisite(s): SPAN 102 or SPAN 110, or an equivalent, with a minimum grade of C-.",
SPAN 203-03,10647,Intermediate Spanish I,M W F,01:10 pm-02:10 pm,HUM 216,Toni Dorca, Closed 0 / 20,"Intermediate Spanish extends and deepens awareness and use of linguistic functions in Spanish. Formal introduction to history and culture of Hispanophone countries. For admission into SPAN 204, students must have completed 203, or its equivalent, with a minimum grade of C-. Prerequisite(s): SPAN 102 or SPAN 110, or an equivalent, with a minimum grade of C-.",
SPAN 203-04,10648,Intermediate Spanish I,M W F,03:30 pm-04:30 pm,HUM 216,Toni Dorca,5 / 20,"Intermediate Spanish extends and deepens awareness and use of linguistic functions in Spanish. Formal introduction to history and culture of Hispanophone countries. For admission into SPAN 204, students must have completed 203, or its equivalent, with a minimum grade of C-. Prerequisite(s): SPAN 102 or SPAN 110, or an equivalent, with a minimum grade of C-.",
SPAN 203-L1,10649,Intermediate Spanish I Lab,T,01:20 pm-02:20 pm,MUSIC 228,Monica Lujan Cervera,1 / 12,"Intermediate Spanish extends and deepens awareness and use of linguistic functions in Spanish. Formal introduction to history and culture of Hispanophone countries. For admission into SPAN 204, students must have completed 203, or its equivalent, with a minimum grade of C-. Prerequisite(s): SPAN 102 or SPAN 110, or an equivalent, with a minimum grade of C-.",
SPAN 203-L2,10650,Intermediate Spanish I Lab,T,02:25 pm-03:25 pm,MUSIC 228,Monica Lujan Cervera,4 / 12,"Intermediate Spanish extends and deepens awareness and use of linguistic functions in Spanish. Formal introduction to history and culture of Hispanophone countries. For admission into SPAN 204, students must have completed 203, or its equivalent, with a minimum grade of C-. Prerequisite(s): SPAN 102 or SPAN 110, or an equivalent, with a minimum grade of C-.",
SPAN 203-L3,10651,Intermediate Spanish I Lab,R,09:40 am-10:40 am,HUM 212,Monica Lujan Cervera,-1 / 12,"Intermediate Spanish extends and deepens awareness and use of linguistic functions in Spanish. Formal introduction to history and culture of Hispanophone countries. For admission into SPAN 204, students must have completed 203, or its equivalent, with a minimum grade of C-. Prerequisite(s): SPAN 102 or SPAN 110, or an equivalent, with a minimum grade of C-.",
SPAN 203-L4,10652,Intermediate Spanish I Lab,R,02:25 pm-03:25 pm,MUSIC 228,Monica Lujan Cervera,4 / 12,"Intermediate Spanish extends and deepens awareness and use of linguistic functions in Spanish. Formal introduction to history and culture of Hispanophone countries. For admission into SPAN 204, students must have completed 203, or its equivalent, with a minimum grade of C-. Prerequisite(s): SPAN 102 or SPAN 110, or an equivalent, with a minimum grade of C-.",
SPAN 203-L5,10653,Intermediate Spanish I Lab,R,08:30 am-09:30 am,HUM 212,Monica Lujan Cervera,-1 / 12,"Intermediate Spanish extends and deepens awareness and use of linguistic functions in Spanish. Formal introduction to history and culture of Hispanophone countries. For admission into SPAN 204, students must have completed 203, or its equivalent, with a minimum grade of C-. Prerequisite(s): SPAN 102 or SPAN 110, or an equivalent, with a minimum grade of C-.",
SPAN 203-L6,10654,Intermediate Spanish I Lab,R,03:30 pm-04:30 pm,MUSIC 228,Monica Lujan Cervera,1 / 12,"Intermediate Spanish extends and deepens awareness and use of linguistic functions in Spanish. Formal introduction to history and culture of Hispanophone countries. For admission into SPAN 204, students must have completed 203, or its equivalent, with a minimum grade of C-. Prerequisite(s): SPAN 102 or SPAN 110, or an equivalent, with a minimum grade of C-.",
SPAN 203-L7,10862,Intermediate Spanish I Lab,TBA,TBA,,STAFF,7 / 15,"Intermediate Spanish extends and deepens awareness and use of linguistic functions in Spanish. Formal introduction to history and culture of Hispanophone countries. For admission into SPAN 204, students must have completed 203, or its equivalent, with a minimum grade of C-. Prerequisite(s): SPAN 102 or SPAN 110, or an equivalent, with a minimum grade of C-.",
SPAN 204-01,10655,Intermediate Spanish II,M W F,09:40 am-10:40 am,HUM 215,Cynthia Kauffeld,0 / 20,"Intermediate Spanish II extends and deepens awareness and use of linguistic functions in Spanish. Formal introduction to history and culture of Hispanophone countries. Prerequisite(s): SPAN 203, or its equivalent, with a grade of C- or better.",
SPAN 204-02,10656,Intermediate Spanish II,M W F,10:50 am-11:50 am,HUM 215,Cynthia Kauffeld,2 / 20,"Intermediate Spanish II extends and deepens awareness and use of linguistic functions in Spanish. Formal introduction to history and culture of Hispanophone countries. Prerequisite(s): SPAN 203, or its equivalent, with a grade of C- or better.",
SPAN 204-03,10657,Intermediate Spanish II,M W F,01:10 pm-02:10 pm,HUM 402,Claudia Giannini,0 / 20,"Intermediate Spanish II extends and deepens awareness and use of linguistic functions in Spanish. Formal introduction to history and culture of Hispanophone countries. Prerequisite(s): SPAN 203, or its equivalent, with a grade of C- or better.",
SPAN 204-L1,10658,Intermediate Spanish II Lab,T,01:20 pm-02:20 pm,OLRI 170,Bibiana Sanabria Toro,0 / 10,"Intermediate Spanish II extends and deepens awareness and use of linguistic functions in Spanish. Formal introduction to history and culture of Hispanophone countries. Prerequisite(s): SPAN 203, or its equivalent, with a grade of C- or better.",
SPAN 204-L2,10659,Intermediate Spanish II Lab,T,02:25 pm-03:25 pm,HUM 102,Bibiana Sanabria Toro,3 / 10,"Intermediate Spanish II extends and deepens awareness and use of linguistic functions in Spanish. Formal introduction to history and culture of Hispanophone countries. Prerequisite(s): SPAN 203, or its equivalent, with a grade of C- or better.",
SPAN 204-L3,10660,Intermediate Spanish II Lab,R,09:40 am-10:40 am,MUSIC 228,Bibiana Sanabria Toro,-2 / 10,"Intermediate Spanish II extends and deepens awareness and use of linguistic functions in Spanish. Formal introduction to history and culture of Hispanophone countries. Prerequisite(s): SPAN 203, or its equivalent, with a grade of C- or better.",
SPAN 204-L4,10661,Intermediate Spanish II Lab,R,02:25 pm-03:25 pm,HUM 226,Bibiana Sanabria Toro,6 / 10,"Intermediate Spanish II extends and deepens awareness and use of linguistic functions in Spanish. Formal introduction to history and culture of Hispanophone countries. Prerequisite(s): SPAN 203, or its equivalent, with a grade of C- or better.",
SPAN 204-L5,10662,Intermediate Spanish II Lab,R,08:30 am-09:30 am,MUSIC 228,Bibiana Sanabria Toro, Closed -1 / 10,"Intermediate Spanish II extends and deepens awareness and use of linguistic functions in Spanish. Formal introduction to history and culture of Hispanophone countries. Prerequisite(s): SPAN 203, or its equivalent, with a grade of C- or better.",
SPAN 204-L6,10663,Intermediate Spanish II Lab,R,03:30 pm-04:30 pm,HUM 226,Bibiana Sanabria Toro,2 / 10,"Intermediate Spanish II extends and deepens awareness and use of linguistic functions in Spanish. Formal introduction to history and culture of Hispanophone countries. Prerequisite(s): SPAN 203, or its equivalent, with a grade of C- or better.",
SPAN 204-L7,10863,Intermediate Spanish II Lab,TBA,TBA,,STAFF,9 / 15,"Intermediate Spanish II extends and deepens awareness and use of linguistic functions in Spanish. Formal introduction to history and culture of Hispanophone countries. Prerequisite(s): SPAN 203, or its equivalent, with a grade of C- or better.",
SPAN 305-01,10664,Advanced Oral and Written Expression,T R,01:20 pm-02:50 pm,HUM 111,Blanca Gimeno Escudero,2 / 15,"This course serves as a bridge between the intermediate and advanced courses in the Department of Spanish and Portuguese. Its main objective is to improve oral and written communication while strengthening grammatical skills and deepening knowledge of Hispanic cultures. Conversations and written essays are based on the cultural and literary themes presented in the textbook, a novel or other literary work, and supporting videos and films. Other course activities vary according to instructors and can include individual and/or group presentations; interviews with native speakers; attending community events related to some celebration of the Hispanic world; or different forms of community engagement. Prerequisite(s): SPAN 204 or SPAN 220 with a minimum grade of C-, or permission of instructor.","Writing WA
                    Internationalism"
SPAN 305-02,10665,Advanced Oral and Written Expression,T R,03:00 pm-04:30 pm,HUM 111,Blanca Gimeno Escudero,4 / 15,"This course serves as a bridge between the intermediate and advanced courses in the Department of Spanish and Portuguese. Its main objective is to improve oral and written communication while strengthening grammatical skills and deepening knowledge of Hispanic cultures. Conversations and written essays are based on the cultural and literary themes presented in the textbook, a novel or other literary work, and supporting videos and films. Other course activities vary according to instructors and can include individual and/or group presentations; interviews with native speakers; attending community events related to some celebration of the Hispanic world; or different forms of community engagement. Prerequisite(s): SPAN 204 or SPAN 220 with a minimum grade of C-, or permission of instructor.","Writing WA
                    Internationalism"
SPAN 305-03,10666,Advanced Oral and Written Expression,M W F,10:50 am-11:50 am,HUM 102,Claudia Giannini,5 / 15,"This course serves as a bridge between the intermediate and advanced courses in the Department of Spanish and Portuguese. Its main objective is to improve oral and written communication while strengthening grammatical skills and deepening knowledge of Hispanic cultures. Conversations and written essays are based on the cultural and literary themes presented in the textbook, a novel or other literary work, and supporting videos and films. Other course activities vary according to instructors and can include individual and/or group presentations; interviews with native speakers; attending community events related to some celebration of the Hispanic world; or different forms of community engagement. Prerequisite(s): SPAN 204 or SPAN 220 with a minimum grade of C-, or permission of instructor.","Writing WA
                    Internationalism"
SPAN 305-04,10667,Advanced Oral and Written Expression,M W F,12:00 pm-01:00 pm,HUM 212,Teresa Mesa Adamuz, Closed 1 / 15,"This course serves as a bridge between the intermediate and advanced courses in the Department of Spanish and Portuguese. Its main objective is to improve oral and written communication while strengthening grammatical skills and deepening knowledge of Hispanic cultures. Conversations and written essays are based on the cultural and literary themes presented in the textbook, a novel or other literary work, and supporting videos and films. Other course activities vary according to instructors and can include individual and/or group presentations; interviews with native speakers; attending community events related to some celebration of the Hispanic world; or different forms of community engagement. Prerequisite(s): SPAN 204 or SPAN 220 with a minimum grade of C-, or permission of instructor.","Writing WA
                    Internationalism"
SPAN 306-01,10668,Spanish for Heritage Speakers,M W F,09:40 am-10:40 am,HUM 212,Alicia Munoz,4 / 15,"This course is designed for heritage learners of Spanish: those who grew up speaking Spanish at home, with extended families and in their communities. These students are comfortable speaking Spanish, but their literacy in it was not necessarily developed by formal schooling. Leaning on all of their previous experience with the language, the course seeks to enrich and complement the students' linguistic repertoire by further developing their communicative abilities, both verbal and written, especially in an academic context. Class content will focus on Latin America and the U.S. Latinx population. Students will gain increased confidence in the language and will strengthen their identity as bilinguals and abilities to interact with a more diverse group of speakers, pursue higher-level courses and/or apply this knowledge in their professional endeavors, inside or outside the United States. This course is the equivalent to SPAN 305 for those interested in the Spanish major or minor. (Students cannot earn credit for both 305 and 306). Prerequisite(s): Course has no explicit prerequisite but is designed for those who grew up speaking Spanish at home, with extended families and in their communities.","Writing WA
                    U.S. Identities and Differences"
SPAN 307-01,10669,Introduction to the Analysis of Hispanic Texts,M W F,01:10 pm-02:10 pm,HUM 217,Carmen Valdivia,3 / 12,"This course presents the student with essential tools for the critical analysis of a broad range of topics and forms of cultural production (literature, cinema, art, e-texts, etc.) in the Hispanic world. It also teaches the student advanced language skills in written composition and public oral presentation. This course satisfies the Area 2 requirement for the Spanish major. Prerequisite(s): SPAN 305 or SPAN 306.",
SPAN 307-02,10799,Introduction to the Analysis of Hispanic Texts,M W F,12:00 pm-01:00 pm,HUM 215,J. Ernesto Ortiz Diaz,3 / 12,"This course presents the student with essential tools for the critical analysis of a broad range of topics and forms of cultural production (literature, cinema, art, e-texts, etc.) in the Hispanic world. It also teaches the student advanced language skills in written composition and public oral presentation. This course satisfies the Area 2 requirement for the Spanish major. Prerequisite(s): SPAN 305 or SPAN 306.",
SPAN 308-01,10671,Introduction to U.S. Latinx Studies,M W F,10:50 am-11:50 am,HUM 212,Alicia Munoz,4 / 15,"This course provides an interdisciplinary discussion of the Latino experience in the United States with a focus on Mexican, Puerto Rican, Dominican, and Cuban- Americans. Using fiction, poetry, films and critical essays, we will examine issues of race and ethnicity, language, identity, gender and sexuality, politics, and immigration. This course satisfies the Area 2 requirement for the Spanish major. Prerequisite(s): SPAN 305 or SPAN 306.",U.S. Identities and Differences
SPAN 309-01,10674,Introduction to Hispanic Linguistics,M W F,09:40 am-10:40 am,THEATR 101,Susana Blanco-Iglesias,6 / 15,"A linguistic survey of the Spanish language aimed at improving pronunciation and increasing comprehension of the structure of the language, deepening students' understanding of the sound system, word formation, grammar and meaning. Study will emphasize phonetics and provide an introduction to transcription, phonology, morphology and syntax, as well as provide an overview of linguistic change and geographic variation. This course satisfies the Area 3 requirement for the Spanish major. Prerequisite(s): SPAN 305, SPAN 306 or consent of instructor.",
SPAN 325-01,10675,"Dictators, Revolutions and Insurrections",M W F,12:00 pm-01:00 pm,HUM 217,Carmen Valdivia, Closed 2 / 15,"Modern Hispanic cultural production in response to dictators, revolutions, and socio-political repression was varied and pointed. Students read a variety of contemporary authors and analyze how they represent social realities in discourse that reflects and informs societal changes. This course satisfies the Area 2 requirement for the Spanish major. Prerequisite(s): SPAN 305 or SPAN 306 and another 300-level Spanish course or consent of the instructor.",
SPAN 359-01,10676,"""Neither Saints Nor Sinners:"" Women Writers of the Early Modern Hispanic World",T R,03:00 pm-04:30 pm,THEATR 204,Margaret Olsen, Closed 0 / 15,"Sixteenth- and seventeenth- century women writers were in constant dialogue with their male counterparts and dedicated much of their energy to debunking myths of female purity, passivity and ignorance. To this end, they created female protagonists of great strength and integrity. Exploring themes such as life in the convent, the mujer varonil and the mujer vestida de hombre , we will look at many peninsular as well as New World women authors who were busy challenging both social and aesthetic norms in their writing. This course satisfies the Area 1 requirement for the Spanish major. Prerequisite(s): SPAN 307 or consent of the instructor.",
SPAN 375-01,10678,History of the Spanish Language,M W F,01:10 pm-02:10 pm,THEATR 213,Cynthia Kauffeld, Closed 0 / 15,"An overview of Modern Spanish as it has developed over time. Course will trace the historical evolution of the most salient phonological, morpho-syntactic and lexical traits of Modern Spanish and will include study of the origins of American Spanish. Students will also be introduced to some of the principal theories of language change. This course satisfies the Area 3 requirement for the Spanish major. Prerequisite(s): SPAN 309 or consent of the instructor.",
STAT 112-01,10399,Introduction to Data Science,M W F,09:40 am-10:40 am,OLRI 241,Brianna Heggeseth,0 / 28,"This course provides an introduction to the handling, analysis, and interpretation of the big datasets now routinely being collected in science, commerce, and government. Students achieve facility with a sophisticated, technical computing environment. The course aligns with techniques being used in several courses in the natural and social sciences, statistics, and mathematics. The course is intended to be accessible to all students, regardless of background.",Quantitative Thinking Q2
STAT 112-02,10401,Introduction to Data Science,M W F,10:50 am-11:50 am,OLRI 241,Brianna Heggeseth,0 / 28,"This course provides an introduction to the handling, analysis, and interpretation of the big datasets now routinely being collected in science, commerce, and government. Students achieve facility with a sophisticated, technical computing environment. The course aligns with techniques being used in several courses in the natural and social sciences, statistics, and mathematics. The course is intended to be accessible to all students, regardless of background.",Quantitative Thinking Q2
STAT 112-F1,10397,Introduction to Data Science,M W F,01:10 pm-02:10 pm,OLRI 241,Brianna Heggeseth,0 / 17,"This course provides an introduction to the handling, analysis, and interpretation of the big datasets now routinely being collected in science, commerce, and government. Students achieve facility with a sophisticated, technical computing environment. The course aligns with techniques being used in several courses in the natural and social sciences, statistics, and mathematics. The course is intended to be accessible to all students, regardless of background.",Quantitative Thinking Q2
STAT 125-01,10447,Epidemiology,M W F,01:10 pm-02:10 pm,THEATR 205,Vittorio Addona, Closed -5 / 24,"Epidemiology is the study of the distribution and determinants of disease and health in human populations and the application of this understanding to the solution of public health problems. Topics include measurement of disease and health, the outbreak and spread of disease, reasoning about cause and effect, analysis of risk, detection and classification, and the evaluation of trade-offs. The course is designed to fulfill and extend the professional community's consensus definition of undergraduate epidemiology. In addition to the techniques of modern epidemiology, the course emphasizes the historical evolution of ideas of causation, treatment, and prevention of disease. The course is a required component of the concentration in Community and Global Health.",Quantitative Thinking Q3
STAT 155-01,10448,Introduction to Statistical Modeling,M W F,09:40 am-10:40 am,OLRI 254,Kelsey Grinde,-2 / 24,"An introductory statistics course with an emphasis on multivariate modeling. Topics include descriptive statistics, experiment and study design, probability, hypothesis testing, multivariate regression, single and multi-way analysis of variance, logistic regression.",Quantitative Thinking Q3
STAT 155-02,10449,Introduction to Statistical Modeling,T R,08:00 am-09:30 am,OLRI 254,James Normington,-4 / 24,"An introductory statistics course with an emphasis on multivariate modeling. Topics include descriptive statistics, experiment and study design, probability, hypothesis testing, multivariate regression, single and multi-way analysis of variance, logistic regression.",Quantitative Thinking Q3
STAT 155-03,10450,Introduction to Statistical Modeling,T R,09:40 am-11:10 am,OLRI 254,James Normington,-4 / 24,"An introductory statistics course with an emphasis on multivariate modeling. Topics include descriptive statistics, experiment and study design, probability, hypothesis testing, multivariate regression, single and multi-way analysis of variance, logistic regression.",Quantitative Thinking Q3
STAT 155-04,10451,Introduction to Statistical Modeling,T R,01:20 pm-02:50 pm,OLRI 254,James Normington,-4 / 24,"An introductory statistics course with an emphasis on multivariate modeling. Topics include descriptive statistics, experiment and study design, probability, hypothesis testing, multivariate regression, single and multi-way analysis of variance, logistic regression.",Quantitative Thinking Q3
STAT 155-05,10870,Introduction to Statistical Modeling,M W F,01:10 pm-02:10 pm,THEATR 002,Laura Lyman,-3 / 24,"An introductory statistics course with an emphasis on multivariate modeling. Topics include descriptive statistics, experiment and study design, probability, hypothesis testing, multivariate regression, single and multi-way analysis of variance, logistic regression.",Quantitative Thinking Q3
STAT 155-06,10871,Introduction to Statistical Modeling,M W F,02:20 pm-03:20 pm,THEATR 002,Laura Lyman,-4 / 24,"An introductory statistics course with an emphasis on multivariate modeling. Topics include descriptive statistics, experiment and study design, probability, hypothesis testing, multivariate regression, single and multi-way analysis of variance, logistic regression.",Quantitative Thinking Q3
STAT 253-01,10452,Statistical Machine Learning,T R,01:20 pm-02:50 pm,THEATR 200,Bryan Martin, Closed 4 / 20,"The linear and logistic modeling techniques from STAT 155 are augmented with the three foundational machine learning tasks: regression, classification, and clustering.  The course explores techniques central to these tasks, including methods of data exploration, supervised and unsupervised learning, parametric and nonparametric modeling, and model training and evaluation.  As required by the application of these sophisticated techniques, the course also introduces foundational statistical computer programming concepts. Prerequisite(s): STAT 155.",
STAT 253-02,10453,Statistical Machine Learning,T R,03:00 pm-04:30 pm,THEATR 200,Bryan Martin, Closed -1 / 20,"The linear and logistic modeling techniques from STAT 155 are augmented with the three foundational machine learning tasks: regression, classification, and clustering.  The course explores techniques central to these tasks, including methods of data exploration, supervised and unsupervised learning, parametric and nonparametric modeling, and model training and evaluation.  As required by the application of these sophisticated techniques, the course also introduces foundational statistical computer programming concepts. Prerequisite(s): STAT 155.",
STAT 354-01,10440,Probability,T R,09:40 am-11:10 am,THEATR 202,Alicia Johnson,2 / 20,"An introduction to probability theory and application. Fundamental probability concepts include: sample spaces, combinatorics, conditional probability, independence, random variables, probability distributions, expectation, variance, moment-generating functions, and limit theorems. Special course topics vary and may include: computer simulation, stochastic processes, and statistical inference. Prerequisite(s): MATH 237; or MATH 137 and MATH 236.",
STAT 354-02,10442,Probability,T R,01:20 pm-02:50 pm,THEATR 206,Alicia Johnson,3 / 20,"An introduction to probability theory and application. Fundamental probability concepts include: sample spaces, combinatorics, conditional probability, independence, random variables, probability distributions, expectation, variance, moment-generating functions, and limit theorems. Special course topics vary and may include: computer simulation, stochastic processes, and statistical inference. Prerequisite(s): MATH 237; or MATH 137 and MATH 236.",
STAT 453-01,10454,Survival Analysis,M W F,09:40 am-10:40 am,THEATR 204,Vittorio Addona, Closed 3 / 16,"Survival analysis refers to a set of methods used for modeling ""time-­to-­event"" or ""duration"" data. In many studies, the outcome of interest is the time between between events (e.g. onset of Alzheimer's until death, time unlit default on a loan, unemployment duration, marriage duration, removal-­to-­recurrence of a tumor, emergency room length of stay). Survival analysis evolved from a practical reality: the precise values of data are often unknown. We will introduce the concepts of censoring and truncation, and discuss the Kaplan-­Meier curve, parametric regression models, Cox's proportional hazards model, and time-­varying covariates. The course will have an applied focus. Examples may be drawn from a variety of fields including, but not restricted to, medicine, economics, sociology, and political science. The course will count toward completion of the concentration in Community and Global Health. Prerequisite(s): STAT 155 and MATH 354.",Writing WA
STAT 453-02,10455,Survival Analysis,M W F,10:50 am-11:50 am,THEATR 204,Vittorio Addona, Closed -3 / 16,"Survival analysis refers to a set of methods used for modeling ""time-­to-­event"" or ""duration"" data. In many studies, the outcome of interest is the time between between events (e.g. onset of Alzheimer's until death, time unlit default on a loan, unemployment duration, marriage duration, removal-­to-­recurrence of a tumor, emergency room length of stay). Survival analysis evolved from a practical reality: the precise values of data are often unknown. We will introduce the concepts of censoring and truncation, and discuss the Kaplan-­Meier curve, parametric regression models, Cox's proportional hazards model, and time-­varying covariates. The course will have an applied focus. Examples may be drawn from a variety of fields including, but not restricted to, medicine, economics, sociology, and political science. The course will count toward completion of the concentration in Community and Global Health. Prerequisite(s): STAT 155 and MATH 354.",Writing WA
STAT 456-01,10456,Projects in Data Science,T R,01:20 pm-02:50 pm,OLRI 245,Shilad Sen,5 / 16,"This third course in the data science curriculum is a capstone course that emphasizes team-based learning through open-ended data science projects. Working with a team throughout the course of the semester you will take on an interdisciplinary in-depth data science project and gain experience in developing and refining research questions, identifying and wrangling datasets, and clearly presenting results and conclusions. Mini-lectures by the instructor, guest speakers, and students will present advanced topics that supplement and support team-based learning. Counts as a capstone course for the Computer Science major and the Data Science major. Prerequisite(s): STAT 212  and STAT 253",
STAT 494-01,10457,Statistical Genetics,M W F,01:10 pm-02:10 pm,OLRI 254,Kelsey Grinde,3 / 16,"Statistical methods for analyzing genetic data and understanding the genetic basis of human diseases and traits are at the heart of government-sponsored precision medicine initiatives, genetic testing routinely conducted at health clinics, and direct-to-consumer genetic and ancestry testing offered by companies like 23andMe and AncestryDNA. Statistical geneticists work to answer these important scientific questions while navigating the unique statistical challenges posed by genetic data such as their large size (p >> n), complicated correlation structure, sparsity, and observational nature. In this course, we will explore the statistical methods that have been proposed to address these challenges, applying ideas from other statistics courses (e.g., linear models, hypothesis testing, classification, principal component analysis, probability theory) in the context of genetic data. Specific topics of focus will include genome-wide association studies, genetic ancestry inference, admixture mapping, and more. Prior knowledge of genetics and methods from statistical machine learning will be helpful, but are not formally required. This course will include a final project that could be presented at the MSCS Capstone Days. Prerequisites: STAT 155 and MATH/STAT 354.",
THDA 112-01,10986,Reading Plays: Queer Theater,T R,01:20 pm-02:50 pm,OLRI 300,kt shorb,9 / 14,"Reading Plays guides students in close readings of dramatic literature, in particular of plays that are typically left out of the traditional theatrical canon. This edition of Reading Plays will focus on texts and performances considered “queer” with an emphasis on plays and performances created post-Stonewall and their relationship to queer history. Students will attempt to define several terms as a class and for themselves, in particular the terms “queer,” “queer theater,” and “queer performance.” We will complicate these definitions by posing questions such as, what does queer embodiment illuminate about these plays and performances? What happens if these plays are performed without queer people? For straight audiences? Students will learn about the socio-historical context of each play, and in-class exercises will introduce them to the foundation of script analysis: they will examine the play’s given circumstances, dialogue, dramatic action, characters, and style. While we will be studying theater scripts, you do not need to be a theater expert to enjoy this class.","Writing WA
                    U.S. Identities and Differences"
THDA 120-01,10686,Acting,T R,01:20 pm-02:50 pm,THEATR 004,Robert Rosen,4 / 14,"This course introduces students to the art of acting. They will acquire fundamental acting skills and engage in  artistic experimentation. Students will learn how to create a repeatable score of psychophysical actions, script analysis, use the body/voice as the actor's performing instrument; explore internal (memory, impulses, and so forth) and external (the other actors, the environment, objects, and so forth) stimuli as creative sources; rediscover of play and imagination; and develop work ethics and discipline. Students in this course will engage in physical activity and be required to spend 3-5 hours in rehearsals outside of scheduled class time.",
THDA 125-01,10687,Technologies of Performance,M W F,10:50 am-11:50 am,THEATR 006,Thomas Barrett,4 / 12,"This course grounds students in the technical and construction practices of performance-making: materials and their sources and histories; conventional and contemporary technologies and techniques; quantitative methods for calculating and assessing drawings for execution. A balance of lecture and hands-on studio time allow students to learn and apply knowledge through working with materials. Students in this course also may provide support to mainstage performance projects, further extending their learning in the course. Department provides course materials.",Quantitative Thinking Q1
THDA 125-L1,10873,Tech of Performance Lab,T,08:00 am-11:10 am,THEATR 006,Thomas Barrett,4 / 12,"This course grounds students in the technical and construction practices of performance-making: materials and their sources and histories; conventional and contemporary technologies and techniques; quantitative methods for calculating and assessing drawings for execution. A balance of lecture and hands-on studio time allow students to learn and apply knowledge through working with materials. Students in this course also may provide support to mainstage performance projects, further extending their learning in the course. Department provides course materials.",
THDA 235-01,10688,Fundamentals of Scenography,T R,01:20 pm-02:50 pm,THEATR 006,Mina Kinukawa,0 / 12,"Scenography is the creation of imagined spaces for performance. In this course we will study the fundamentals of scenography holistically, including scenic, lighting, costume, sound, and projection design. Students will develop the ability to analyze and critique elements of performance design, articulate design ideas through written and verbal means, and complete a design project from textual analysis to tangible objects. This course is a prerequisite for intermediate and advanced design courses in Theater and Dance. Department provides course materials.",
THDA 242-01,10689,Playwriting,M W F,03:30 pm-04:30 pm,THEATR 213,C. Meaker,0 / 12,"In this course, students engage in a series of playwriting exercises and read a wide variety of plays. They will read new and contemporary plays that employ different storytelling techniques (i.e., structure, character arcs, staging elements, etc.), embrace the unlimited possibilities of theatricality, and exemplify why we write for the stage. Students will develop a ""playwriting toolkit"" as they explore their artistic interests following the conventions of time-bound pieces: the 1-minute, 5-minute, 10-minute, and ultimately one-act form. In-class exercises and prompts, and small-group workshopping and reading will challenge each writer's individual development. A midterm and final play reading series of one-acts will allow students to hear their work in a supportive public setting. May be repeated for credit. Prerequisite(s): Coursework in Theater and Dance, or in creative writing is recommended.",Writing WC
THDA 242-02,10691,Playwriting,T R,03:00 pm-04:30 pm,THEATR 213,Cristina Luzarraga,8 / 12,"In this course, students engage in a series of playwriting exercises and read a wide variety of plays. They will read new and contemporary plays that employ different storytelling techniques (i.e., structure, character arcs, staging elements, etc.), embrace the unlimited possibilities of theatricality, and exemplify why we write for the stage. Students will develop a ""playwriting toolkit"" as they explore their artistic interests following the conventions of time-bound pieces: the 1-minute, 5-minute, 10-minute, and ultimately one-act form. In-class exercises and prompts, and small-group workshopping and reading will challenge each writer's individual development. A midterm and final play reading series of one-acts will allow students to hear their work in a supportive public setting. May be repeated for credit. Prerequisite(s): Coursework in Theater and Dance, or in creative writing is recommended.",Writing WC
THDA 245-01,10693,Performance Histories and Theories: From the Historical Avant-Garde to the Present,T R,03:00 pm-04:30 pm,THEATR 206,Wendy Weckwerth,5 / 14,"By examining key movements in dance and theater history from the late 19th century to the present, this seminar explores the active relationship between theoretical thought and aesthetic innovation on stage. Through close readings of primary, secondary, and critical texts, the course highlights the ways in which dance and theater advanced movement by movement, each ""ism"" a reaction to what came before, and how the transformation from historical avant-garde to experimental contemporary performance represents dynamic and cumulative ruptures with the mainstream. Ultimately, they shape how we imagine, see, and create dance and theater today. Students' work in this seminar will culminate in an individual critical writing project. Required for Theatre and Dance majors. Prerequisite(s): Preference given to Theatre and Dance major and/or minors.",Writing WA
THDA 250-01,10694,Experiential Anatomy and the Mind Body Connection,M W F,02:20 pm-03:20 pm,THEATR 120,Jill Lile,6 / 18,"The study of anatomy and somatics provide concrete pathways to deepening our understanding of self and the mind-body connection. We will study the musculoskeletal human anatomy on both a theoretical and practical level. Countering the notion that the body is an assemblage of parts to be trained, strengthened, and disciplined, we will delve into various mind-body practices that illuminate anatomy from a first-person perspective. We will focus on experiential learning including embodied anatomy and movement practices that provide direct knowledge of anatomy and alignment while providing opportunities for an integrated experience from within and increased self-awareness. In-class work will be supplemented by readings, journaling, physical practice, writing and research.",Writing WP
THDA 294-01,10695,Sound Design,M W F,02:20 pm-03:20 pm,THEATR 006,Katharine Horowitz,2 / 12,"This course will provide the student with an introduction to the creative and technical process of sound design in contemporary theatre. Through lecture, demonstration, and projects, students will learn the aesthetic of sound design, the basic science of sound, audio software, and the process of collaboration. Students will acquire the skills to analyze and research a script; to edit, manipulate, and program sound files; and to present and defend design projects.",Quantitative Thinking Q1
